@relation lunar_lander-weka.filters.unsupervised.attribute.Remove-R9-12

@attribute x_position numeric
@attribute y_position numeric
@attribute x_velocity numeric
@attribute y_velocity numeric
@attribute angle numeric
@attribute angular_velocity numeric
@attribute left_leg {0,1}
@attribute right_leg {0,1}
@attribute action {0,1,2,3}

@data
-0.362066,1.562231,-0.61012,-0.016796,0.409405,0.136159,0,0,0
-0.368104,1.561798,-0.610118,-0.02112,0.416213,0.136159,0,0,0
-0.374142,1.561267,-0.610115,-0.025443,0.423021,0.136158,0,0,0
-0.38018,1.56064,-0.610113,-0.029767,0.429829,0.136158,0,0,0
-0.386218,1.559917,-0.610111,-0.034091,0.436637,0.136157,0,0,0
-0.392257,1.559096,-0.610108,-0.038414,0.443445,0.136157,0,0,0
-0.398296,1.55818,-0.610106,-0.042738,0.450253,0.136157,0,0,0
-0.404335,1.557166,-0.610103,-0.047061,0.45706,0.136156,0,0,0
-0.410374,1.556056,-0.610101,-0.051385,0.463868,0.136156,0,0,0
-0.416413,1.554849,-0.610098,-0.055708,0.470676,0.136155,0,0,0
-0.422453,1.553546,-0.610095,-0.060032,0.477484,0.136155,0,0,0
-0.428493,1.552145,-0.610093,-0.064355,0.484291,0.136154,0,0,0
-0.434533,1.550649,-0.61009,-0.068679,0.491099,0.136154,0,0,0
-0.440573,1.549055,-0.610087,-0.073002,0.497907,0.136153,0,0,0
-0.446613,1.547365,-0.610084,-0.077325,0.504714,0.136153,0,0,0
-0.452654,1.545578,-0.610082,-0.081649,0.511522,0.136152,0,0,0
-0.458694,1.543695,-0.610079,-0.085972,0.51833,0.136152,0,0,0
-0.464735,1.541715,-0.610076,-0.090296,0.525137,0.136152,0,0,0
-0.470776,1.539638,-0.610073,-0.094619,0.531945,0.136151,0,0,0
-0.476818,1.537465,-0.61007,-0.098942,0.538752,0.136151,0,0,0
-0.482859,1.535195,-0.610067,-0.103266,0.54556,0.13615,0,0,0
-0.488901,1.532828,-0.610064,-0.107589,0.552367,0.13615,0,0,0
-0.494943,1.530365,-0.610061,-0.111912,0.559175,0.136149,0,0,0
-0.500985,1.527805,-0.610058,-0.116236,0.565982,0.136149,0,0,0
-0.507028,1.525148,-0.610055,-0.120559,0.57279,0.136149,0,0,0
-0.51307,1.522395,-0.610052,-0.124882,0.579597,0.136148,0,0,0
-0.519113,1.519544,-0.610049,-0.129206,0.586404,0.136148,0,0,0
-0.525156,1.516598,-0.610045,-0.133529,0.593212,0.136147,0,0,0
-0.5312,1.513554,-0.610042,-0.137852,0.600019,0.136147,0,0,0
-0.537243,1.510414,-0.610039,-0.142175,0.606826,0.136146,0,0,0
-0.543287,1.507177,-0.610036,-0.146499,0.613634,0.136146,0,0,0
-0.549331,1.503843,-0.610032,-0.150822,0.620441,0.136145,0,0,0
-0.555375,1.500413,-0.610029,-0.155145,0.627248,0.136145,0,0,0
-0.56142,1.496886,-0.610025,-0.159468,0.634055,0.136145,0,0,0
-0.567464,1.493262,-0.610022,-0.163791,0.640863,0.136144,0,0,0
-0.573509,1.489542,-0.610019,-0.168114,0.64767,0.136144,0,0,0
-0.579555,1.485725,-0.610015,-0.172438,0.654477,0.136143,0,0,0
-0.5856,1.481811,-0.610011,-0.176761,0.661284,0.136143,0,0,0
-0.591646,1.4778,-0.610008,-0.181084,0.668091,0.136142,0,0,0
-0.597692,1.473693,-0.610004,-0.185407,0.674898,0.136142,0,0,0
-0.603738,1.469489,-0.610001,-0.18973,0.681705,0.136142,0,0,0
-0.609785,1.465188,-0.609997,-0.194053,0.688512,0.136141,0,0,0
-0.615832,1.460791,-0.609993,-0.198376,0.695319,0.136141,0,0,0
-0.621879,1.456296,-0.60999,-0.202699,0.702127,0.13614,0,0,0
-0.627926,1.451705,-0.609986,-0.207022,0.708933,0.13614,0,0,0
-0.633974,1.447018,-0.609982,-0.211345,0.71574,0.136139,0,0,0
-0.640022,1.442233,-0.609978,-0.215668,0.722547,0.136139,0,0,0
-0.64607,1.437352,-0.609974,-0.219991,0.729354,0.136138,0,0,0
-0.652118,1.432374,-0.60997,-0.224314,0.736161,0.136138,0,0,0
-0.658167,1.4273,-0.609966,-0.228637,0.742968,0.136138,0,0,0
-0.664216,1.422128,-0.609962,-0.23296,0.749775,0.136137,0,0,0
-0.670265,1.41686,-0.609959,-0.237282,0.756582,0.136137,0,0,0
-0.676315,1.411495,-0.609955,-0.241605,0.763389,0.136136,0,0,1
